taskFamilyId,seed,snrDb,windowLength,detectorId,onsetHitRate,offsetHitRate,medianOnsetLocalizationError,medianOffsetLocalizationError,medianFalsePositiveCount,medianOnsetDetectionDelay,medianOffsetDetectionDelay,streamCount
correlated-nuisance-to-engineered-structure,24680,-9,64,cav,0.000000,1.000000,,32.000000,2.000000,,32.000000,2
correlated-nuisance-to-engineered-structure,24680,-9,64,ed,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,32.000000,2.500000,,-32.000000,2
correlated-nuisance-to-engineered-structure,24680,-9,128,cav,0.500000,0.000000,128.000000,,2.500000,128.000000,,2
correlated-nuisance-to-engineered-structure,24680,-9,128,ed,0.000000,1.000000,,128.000000,2.000000,,-128.000000,2
correlated-nuisance-to-engineered-structure,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,64.000000,2.500000,,-64.000000,2
correlated-nuisance-to-engineered-structure,24680,-3,64,cav,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,24680,-3,64,ed,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,64.000000,2.500000,,64.000000,2
correlated-nuisance-to-engineered-structure,24680,-3,128,cav,0.000000,1.000000,,32.000000,2.000000,,32.000000,2
correlated-nuisance-to-engineered-structure,24680,-3,128,ed,0.500000,0.000000,128.000000,,2.500000,-128.000000,,2
correlated-nuisance-to-engineered-structure,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,64.000000,2.500000,,-64.000000,2
correlated-nuisance-to-engineered-structure,24680,0,64,cav,0.000000,0.500000,,32.000000,2.500000,,32.000000,2
correlated-nuisance-to-engineered-structure,24680,0,64,ed,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.500000,32.000000,32.000000,2.000000,-32.000000,-32.000000,2
correlated-nuisance-to-engineered-structure,24680,0,128,cav,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,24680,0,128,ed,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.500000,64.000000,0.000000,2.000000,64.000000,0.000000,2
correlated-nuisance-to-engineered-structure,86420,-9,64,cav,0.000000,0.500000,,64.000000,2.500000,,-64.000000,2
correlated-nuisance-to-engineered-structure,86420,-9,64,ed,0.000000,0.500000,,32.000000,2.500000,,-32.000000,2
correlated-nuisance-to-engineered-structure,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,0.000000,2.500000,,0.000000,2
correlated-nuisance-to-engineered-structure,86420,-9,128,cav,0.500000,0.000000,64.000000,,2.500000,64.000000,,2
correlated-nuisance-to-engineered-structure,86420,-9,128,ed,0.000000,0.500000,,64.000000,2.500000,,64.000000,2
correlated-nuisance-to-engineered-structure,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,128.000000,2.500000,,-128.000000,2
correlated-nuisance-to-engineered-structure,86420,-3,64,cav,0.500000,0.000000,0.000000,,2.500000,0.000000,,2
correlated-nuisance-to-engineered-structure,86420,-3,64,ed,0.500000,0.000000,64.000000,,2.500000,-64.000000,,2
correlated-nuisance-to-engineered-structure,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,1.000000,,48.000000,2.000000,,48.000000,2
correlated-nuisance-to-engineered-structure,86420,-3,128,cav,1.000000,0.500000,128.000000,64.000000,1.500000,-128.000000,64.000000,2
correlated-nuisance-to-engineered-structure,86420,-3,128,ed,0.000000,0.500000,,64.000000,2.500000,,64.000000,2
correlated-nuisance-to-engineered-structure,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,64.000000,2.500000,,64.000000,2
correlated-nuisance-to-engineered-structure,86420,0,64,cav,1.000000,0.000000,48.000000,,2.000000,-48.000000,,2
correlated-nuisance-to-engineered-structure,86420,0,64,ed,0.500000,0.000000,32.000000,,2.500000,-32.000000,,2
correlated-nuisance-to-engineered-structure,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.000000,32.000000,,2.500000,-32.000000,,2
correlated-nuisance-to-engineered-structure,86420,0,128,cav,0.500000,0.500000,0.000000,0.000000,2.000000,0.000000,0.000000,2
correlated-nuisance-to-engineered-structure,86420,0,128,ed,1.000000,0.500000,0.000000,0.000000,1.500000,0.000000,0.000000,2
correlated-nuisance-to-engineered-structure,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,-9,64,cav,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,-9,64,ed,0.500000,0.000000,32.000000,,2.500000,-32.000000,,2
correlated-nuisance-to-engineered-structure,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.000000,32.000000,,2.500000,32.000000,,2
correlated-nuisance-to-engineered-structure,97531,-9,128,cav,0.000000,0.500000,,0.000000,2.500000,,0.000000,2
correlated-nuisance-to-engineered-structure,97531,-9,128,ed,0.500000,0.500000,0.000000,0.000000,2.000000,0.000000,0.000000,2
correlated-nuisance-to-engineered-structure,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,-3,64,cav,0.500000,0.500000,32.000000,64.000000,2.000000,-32.000000,64.000000,2
correlated-nuisance-to-engineered-structure,97531,-3,64,ed,0.500000,0.000000,0.000000,,2.500000,0.000000,,2
correlated-nuisance-to-engineered-structure,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,-3,128,cav,1.000000,0.000000,0.000000,,2.000000,0.000000,,2
correlated-nuisance-to-engineered-structure,97531,-3,128,ed,0.500000,0.000000,0.000000,,2.500000,0.000000,,2
correlated-nuisance-to-engineered-structure,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.000000,128.000000,,2.500000,-128.000000,,2
correlated-nuisance-to-engineered-structure,97531,0,64,cav,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,0,64,ed,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,0,128,cav,0.000000,0.000000,,,3.000000,,,2
correlated-nuisance-to-engineered-structure,97531,0,128,ed,0.000000,1.000000,,96.000000,2.000000,,96.000000,2
correlated-nuisance-to-engineered-structure,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.500000,0.000000,64.000000,2.000000,0.000000,-64.000000,2
quiet-to-structured-regime,24680,-9,64,cav,0.500000,0.000000,64.000000,,2.500000,64.000000,,2
quiet-to-structured-regime,24680,-9,64,ed,0.500000,0.000000,32.000000,,2.500000,32.000000,,2
quiet-to-structured-regime,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,24680,-9,128,cav,0.500000,0.000000,128.000000,,2.500000,-128.000000,,2
quiet-to-structured-regime,24680,-9,128,ed,0.500000,0.000000,128.000000,,2.500000,-128.000000,,2
quiet-to-structured-regime,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,64.000000,2.000000,,-64.000000,2
quiet-to-structured-regime,24680,-3,64,cav,0.500000,0.500000,0.000000,32.000000,2.000000,0.000000,-32.000000,2
quiet-to-structured-regime,24680,-3,64,ed,0.500000,0.000000,32.000000,,2.500000,-32.000000,,2
quiet-to-structured-regime,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,1.000000,0.000000,32.000000,,2.000000,-32.000000,,2
quiet-to-structured-regime,24680,-3,128,cav,1.000000,1.000000,32.000000,96.000000,1.000000,-32.000000,32.000000,2
quiet-to-structured-regime,24680,-3,128,ed,1.000000,0.000000,0.000000,,2.000000,0.000000,,2
quiet-to-structured-regime,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,24680,0,64,cav,0.500000,0.500000,32.000000,32.000000,2.000000,-32.000000,-32.000000,2
quiet-to-structured-regime,24680,0,64,ed,0.500000,0.500000,0.000000,32.000000,2.000000,0.000000,-32.000000,2
quiet-to-structured-regime,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.500000,32.000000,64.000000,2.000000,32.000000,64.000000,2
quiet-to-structured-regime,24680,0,128,cav,1.000000,1.000000,0.000000,64.000000,1.000000,0.000000,-64.000000,2
quiet-to-structured-regime,24680,0,128,ed,1.000000,0.500000,32.000000,0.000000,1.500000,-32.000000,0.000000,2
quiet-to-structured-regime,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.000000,64.000000,,2.500000,64.000000,,2
quiet-to-structured-regime,86420,-9,64,cav,0.500000,0.000000,0.000000,,2.500000,0.000000,,2
quiet-to-structured-regime,86420,-9,64,ed,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,1.000000,32.000000,32.000000,1.500000,-32.000000,32.000000,2
quiet-to-structured-regime,86420,-9,128,cav,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,86420,-9,128,ed,0.500000,0.000000,0.000000,,2.500000,0.000000,,2
quiet-to-structured-regime,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,86420,-3,64,cav,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,86420,-3,64,ed,1.000000,0.500000,0.000000,32.000000,1.500000,0.000000,-32.000000,2
quiet-to-structured-regime,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,86420,-3,128,cav,0.500000,1.000000,0.000000,64.000000,1.500000,0.000000,-64.000000,2
quiet-to-structured-regime,86420,-3,128,ed,1.000000,0.500000,64.000000,64.000000,1.500000,0.000000,-64.000000,2
quiet-to-structured-regime,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.000000,128.000000,,2.500000,-128.000000,,2
quiet-to-structured-regime,86420,0,64,cav,0.500000,0.500000,0.000000,0.000000,2.000000,0.000000,0.000000,2
quiet-to-structured-regime,86420,0,64,ed,0.500000,1.000000,64.000000,16.000000,1.500000,64.000000,-16.000000,2
quiet-to-structured-regime,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,86420,0,128,cav,0.500000,1.000000,64.000000,0.000000,1.500000,-64.000000,0.000000,2
quiet-to-structured-regime,86420,0,128,ed,1.000000,1.000000,64.000000,32.000000,1.000000,-64.000000,-32.000000,2
quiet-to-structured-regime,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,97531,-9,64,cav,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,97531,-9,64,ed,0.500000,0.000000,32.000000,,2.500000,32.000000,,2
quiet-to-structured-regime,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,97531,-9,128,cav,0.500000,0.500000,0.000000,0.000000,2.000000,0.000000,0.000000,2
quiet-to-structured-regime,97531,-9,128,ed,0.000000,0.500000,,64.000000,2.500000,,-64.000000,2
quiet-to-structured-regime,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.500000,64.000000,0.000000,1.500000,64.000000,0.000000,2
quiet-to-structured-regime,97531,-3,64,cav,1.000000,0.000000,16.000000,,2.000000,-16.000000,,2
quiet-to-structured-regime,97531,-3,64,ed,0.000000,0.500000,,32.000000,2.500000,,-32.000000,2
quiet-to-structured-regime,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,97531,-3,128,cav,0.500000,1.000000,64.000000,64.000000,1.500000,64.000000,-64.000000,2
quiet-to-structured-regime,97531,-3,128,ed,0.500000,1.000000,64.000000,0.000000,1.500000,-64.000000,0.000000,2
quiet-to-structured-regime,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,0.000000,2.500000,,0.000000,2
quiet-to-structured-regime,97531,0,64,cav,1.000000,1.000000,0.000000,16.000000,1.000000,0.000000,-16.000000,2
quiet-to-structured-regime,97531,0,64,ed,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2
quiet-to-structured-regime,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,2
quiet-to-structured-regime,97531,0,128,cav,0.500000,1.000000,64.000000,64.000000,1.500000,-64.000000,-64.000000,2
quiet-to-structured-regime,97531,0,128,ed,0.500000,1.000000,64.000000,32.000000,1.500000,-64.000000,-32.000000,2
quiet-to-structured-regime,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.500000,,64.000000,2.500000,,64.000000,2
structure-to-structure-regime-shift,24680,-9,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,-9,64,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,-9,128,cav,0.500000,,0.000000,,2.500000,0.000000,,2
structure-to-structure-regime-shift,24680,-9,128,ed,0.500000,,128.000000,,2.500000,-128.000000,,2
structure-to-structure-regime-shift,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,-3,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,-3,64,ed,1.000000,,48.000000,,2.000000,48.000000,,2
structure-to-structure-regime-shift,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,-3,128,cav,0.500000,,64.000000,,2.500000,64.000000,,2
structure-to-structure-regime-shift,24680,-3,128,ed,0.500000,,64.000000,,2.500000,64.000000,,2
structure-to-structure-regime-shift,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,,0.000000,,2.500000,0.000000,,2
structure-to-structure-regime-shift,24680,0,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,0,64,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,0,128,cav,1.000000,,96.000000,,2.000000,32.000000,,2
structure-to-structure-regime-shift,24680,0,128,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,,64.000000,,2.500000,-64.000000,,2
structure-to-structure-regime-shift,86420,-9,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,-9,64,ed,0.500000,,64.000000,,2.500000,64.000000,,2
structure-to-structure-regime-shift,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,-9,128,cav,0.500000,,128.000000,,2.500000,-128.000000,,2
structure-to-structure-regime-shift,86420,-9,128,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,1.000000,,64.000000,,2.000000,0.000000,,2
structure-to-structure-regime-shift,86420,-3,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,-3,64,ed,0.500000,,64.000000,,2.500000,-64.000000,,2
structure-to-structure-regime-shift,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,-3,128,cav,0.500000,,64.000000,,2.500000,-64.000000,,2
structure-to-structure-regime-shift,86420,-3,128,ed,0.500000,,64.000000,,2.500000,-64.000000,,2
structure-to-structure-regime-shift,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,0,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,0,64,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,,32.000000,,2.500000,-32.000000,,2
structure-to-structure-regime-shift,86420,0,128,cav,0.500000,,64.000000,,2.500000,64.000000,,2
structure-to-structure-regime-shift,86420,0,128,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,-9,64,cav,1.000000,,32.000000,,2.000000,-32.000000,,2
structure-to-structure-regime-shift,97531,-9,64,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,,32.000000,,2.500000,-32.000000,,2
structure-to-structure-regime-shift,97531,-9,128,cav,0.500000,,0.000000,,2.500000,0.000000,,2
structure-to-structure-regime-shift,97531,-9,128,ed,0.500000,,0.000000,,2.500000,0.000000,,2
structure-to-structure-regime-shift,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,2.500000,,,2
structure-to-structure-regime-shift,97531,-3,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,-3,64,ed,0.500000,,32.000000,,2.500000,32.000000,,2
structure-to-structure-regime-shift,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,-3,128,cav,0.500000,,128.000000,,2.500000,128.000000,,2
structure-to-structure-regime-shift,97531,-3,128,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,,0.000000,,2.500000,0.000000,,2
structure-to-structure-regime-shift,97531,0,64,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,0,64,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,0,128,cav,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,0,128,ed,0.000000,,,,3.000000,,,2
structure-to-structure-regime-shift,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,1.000000,,32.000000,,2.000000,-32.000000,,2
